CustomerID,FirstName,LastName,Email,Address,City,PostalCode,RegistrationDate,LastLoginDate,CustomerSegment,DateOfBirth,Phone
C00001,Chelsea,Macdonald,chelsea.macdonald@yahoo.com,53315 Wallace Spurs Apt. 571,Port Harcourt,695494,26/05/2024,,VIP,26/02/1995,9074567463
C00002,Dean,Scott,dscott@outlook.com,"96030 Cruz Fords, Rivers",Port Harcourt,865924,21/12/2023,01/04/2025 18:51,standard,21/11/1983,8105943823
C00003,Sean,Brown,sean.brown@gmail.com,"2658 Montoya Vista, Lagos",Lagos,314272,02/12/2024,03/05/2025 17:49,standard,01/01/1900,9169283703
C00004,Kelly,Wright,kwright@yahoo.com,966 Thomas Square Suite 761,Kano,558844,12/02/2024,03/06/2025 03:43,Standard,28/03/1997,8265812270
C00005,Matthew,Jones,matthew.jones@iwantthis.com.ng,744 Hall Ranch,Abuja,863098,06/01/2024,8/31/2024 0:19,Silver,,
C00006,Jennifer,Parker,jparker@mail.ng,6451 Derrick Harbor,Port Harcourt,296781,15/02/2024,10/09/2024 00:16,New,13/07/1938,8249114737
C00007,Marilyn,Morgan,marilyn.morgan@mail.com,107 Sandoval Wall,Port Harcourt,895580,23/01/2024,,New,,8174612749
C00008,John,Crawford,john.crawford@yahoo.com,3682 Stephanie Cliffs,Port Harcourt,489506,29/04/2025,05/03/2025 13:45,Standard,01/01/1900,
C00009,Jennifer,Moreno,jennifer_moreno@mail.com,4438 Brown Passage Suite 793 ,Port Harcourt,780225,26/03/2024,11/06/2024 22:25,Standard,27/10/1967,7168367219
C00010,Rodney,Kirk,kirk.r@aol.com,2225 Meyers Island Suite 711,Port Harcourt,190391,21/01/2024,04/05/2025 08:21,Gold,26/08/1979,9020753091
C00011,Aaron,Mccormick,aaron_mccormick@gmail.com,"987 Mcgee Flat, Rivers",Port Harcourt,100903,28/06/2024,,Gold,,9022083371
C00012,Debra,Bird,debra.bird@mail.ng,65622 Smith Valley Apt. 540,Aba,461639,23/09/2024,4/27/2025 20:24,Platinum,25/03/1945,7178669059
C00013,Brandon,Stevenson,brandon.stevenson@yahoo.com,"2428 Lisa Causeway Apt. 636, Enugu",Enugu,553171,19/01/2025,02/03/2025 00:56,VIP,12/12/1993,8193874247
C00014,Christopher,Espinoza,christopherespinoza@aol.com,2694 David Views,Port Harcourt,672235,30/05/2024,7/30/2024 2:19,New,23/09/1975,8243846275
C00015,Jeremy,Barnes,jbarnes@mail.com,"4295 Stacey Via, Rivers",Port Harcourt,634319,19/08/2024,09/09/2024 03:27,Bronze,28/02/1978,8259831806
C00016,Paula,Moore,moore.p@workmail.com,"127 Nicole Mills Apt. 454, Delta",Warri,,22/05/2024,3/23/2025 15:30,,15/06/1937,9059348390
C00017,Stephanie,Mendez,mendez.s@mail.com,30186 Little Mews,Lagos,,12/07/2024,01/08/2025 22:15,New,21/11/1963,8237582160
C00018,Tina,Schmidt,tina.schmidt@hotmail.com, 374 Pamela Rapids Apt. 998,Port Harcourt,169389,16/05/2025,,Standard,,7025925823
C00019,Christopher,Holland,christopher.holland@yahoo.com,28658 Romero Drives,Lagos,897814,19/11/2024,02/07/2025 22:44,VIP,01/01/1900,9138864403
C00020,Lindsay,Gomez,lindsay_gomez@hotmail.com,5536 Santiago Ferry Apt. 780,Lagos,415842,01/11/2023,10/03/2024 13:09,Bronze,12/04/1942,7059237603
